Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U1         ESP-WROOM-32        -78.74mil     921.26mil     -78.74mil     921.26mil   -433.071mil   1275.591mil  T          0.00 ESP-WROOM-32   
C43        0603              -183.071mil    -453.74mil   -183.071mil    -453.74mil   -212.598mil    -453.74mil  T        360.00 0.1uF          
C42        0603               -210.63mil    -553.15mil    -210.63mil    -553.15mil    -210.63mil   -523.622mil  T        270.00 0.1uF          
C41        1206                57.087mil   -276.575mil     57.087mil   -276.575mil     57.087mil   -219.488mil  T        270.00 22uF           
TP43       TEST_PAD           533.465mil   -623.026mil    533.465mil   -623.026mil    533.465mil   -623.026mil  B        270.00 TP             
TP42       TEST_PAD           454.724mil   -733.262mil    454.724mil   -733.262mil    454.724mil   -733.262mil  B        270.00 TP             
C40        0603               -23.622mil   -241.142mil    -23.622mil   -241.142mil    -23.622mil   -211.614mil  T        270.00 0.1uF          
R35        RDRIVER           1550.197mil    305.814mil   1550.197mil    305.814mil   1550.197mil    148.333mil  B         90.00 DNP            
R34        RDRIVER           1550.197mil   -306.772mil   1550.197mil   -306.772mil   1550.197mil   -464.252mil  B         90.00 DNP            
R33        RDRIVER           1498.032mil    -921.26mil   1498.032mil    -921.26mil   1498.032mil   -1078.74mil  B         90.00 DNP            
R32        RDRIVER          -1494.094mil  -1019.685mil  -1494.094mil  -1019.685mil  -1494.094mil   -862.205mil  B        270.00 DNP            
R31        RDRIVER          -1494.094mil   -406.606mil  -1494.094mil   -406.606mil  -1494.094mil   -249.125mil  B        270.00 DNP            
R30        RDRIVER          -1494.094mil    206.693mil  -1494.094mil    206.693mil  -1494.094mil    364.173mil  B        270.00 DNP            
V2         0402              1314.961mil   -1368.11mil   1314.961mil   -1368.11mil   1295.276mil   -1368.11mil  T        360.00 EZJ-Z0V650DA   
V1         0402              1122.047mil   -1368.11mil   1122.047mil   -1368.11mil   1102.362mil   -1368.11mil  T        360.00 EZJ-Z0V650DA   
V33        0402              -232.284mil   -795.276mil   -232.283mil   -795.276mil   -212.598mil   -795.276mil  T        180.00 EZJ-Z0V650DA   
V32        0402               -82.677mil   -795.276mil    -82.677mil   -795.276mil    -62.992mil   -795.276mil  T        180.00 EZJ-Z0V650DA   
V31        0402              1413.386mil    940.945mil   1413.386mil    940.945mil   1413.386mil     921.26mil  T         90.00 EZJ-Z0V650DA   
V29        0402             -1413.386mil       1000mil  -1413.386mil       1000mil  -1413.386mil   1019.685mil  T        270.00 EZJ-Z0V650DA   
V28        0402             -1413.386mil    901.575mil  -1413.386mil    901.575mil  -1413.386mil     921.26mil  T        270.00 EZJ-Z0V650DA   
V27        0402             -1413.386mil    803.149mil  -1413.386mil     803.15mil  -1413.386mil    822.835mil  T        270.00 EZJ-Z0V650DA   
V20        0402               630.905mil  -1019.685mil    630.905mil  -1019.685mil    611.221mil  -1019.685mil  T        360.00 EZJ-Z0V650DA   
V19        0402               729.331mil  -1019.685mil    729.331mil  -1019.685mil    709.646mil  -1019.685mil  T        360.00 EZJ-Z0V650DA   
V18        0402              1413.582mil    187.047mil   1413.582mil    187.047mil   1413.582mil    206.732mil  T        270.00 EZJ-Z0V650DA   
V17        0402              1412.582mil    324.843mil   1412.582mil    324.843mil   1412.582mil    305.158mil  T         90.00 EZJ-Z0V650DA   
V16        0402              1413.386mil   -425.197mil   1413.386mil   -425.197mil   1413.386mil   -405.512mil  T        270.00 EZJ-Z0V650DA   
V15        0402              1412.386mil   -287.402mil   1412.386mil   -287.402mil   1412.386mil   -307.087mil  T         90.00 EZJ-Z0V650DA   
V14        0402              1413.386mil  -1040.354mil   1413.386mil  -1040.354mil   1413.386mil  -1020.669mil  T        270.00 EZJ-Z0V650DA   
V13        0402              1412.386mil   -902.559mil   1412.386mil   -902.559mil   1412.386mil   -922.244mil  T         90.00 EZJ-Z0V650DA   
V12        0402             -1413.386mil   -901.575mil  -1413.386mil   -901.575mil  -1413.386mil    -921.26mil  T         90.00 EZJ-Z0V650DA   
V11        0402             -1412.386mil   -1039.37mil  -1412.386mil   -1039.37mil  -1412.386mil  -1019.685mil  T        270.00 EZJ-Z0V650DA   
